N AVENUE 5 (BLK 711) 1,
N AVENUE 5 (BLK 711) 1,
N STREET 71 (BLK 713) 1,
Location No. of Dengue Cases,
ILLVIEW AVENUE 2,
Location No. of Dengue Cases,
SIMEI RISE 2,
Location No. of Dengue Cases,
MORE AVENUE (BLK 56) 1,
MORE AVENUE (BLK 80) 1,
e click here.,
nnect With Us GO TO,
NEA Website,
Copyright  2013 National Environment Agency. All rights reserve,
"",10/1
t Agency,,,
Feedback,FAQS,Contact Us,
Participate Resources,,Contact,
Dengue Cluster Information @ NEA 2013,,,
ck here for more NEA information in OneMap,,,
occur within 14 days and the homes of the dengue victims are within the,,,
ck on the cluster locality.,,,
alert level is associated with a list of preventive actions that the public c,,,
Alert Level,,,
Red,,,
Yellow,,,
Green,,,
Breakdown,,,
Location,,No. of Dengue Cases,
ES AVENUE 5 (BLK 858),,1,
ES AVENUE 5 (BLK 859),,3,
ES AVENUE 5 (BLK 860),,4,
ES AVENUE 5 (BLK 860B),,1,
ES AVENUE 5 (BLK 861),,4,
ES AVENUE 5 (BLK 861A),,1,
MPINES AVENUE 8,,4,
ES AVENUE 8 (BLK 868A),,1,
ES AVENUE 8 (BLK 878),,3,
ES AVENUE 8 (BLK 880),,1,
ES AVENUE 8 (BLK 893A),,1,
ES STREET 71 (BLK 707),,1,
ES STREET 71 (BLK 724),,5,
ES STREET 71 (BLK 725),,2,
ES STREET 71 (BLK 726),,1,
ES STREET 71 (BLK 731),,3,
ES STREET 71 (BLK 732),,2,
ES STREET 71 (BLK 734),,1,
MPINES STREET 73,,4,
"",,,1/1
ES STREET 81 (BLK 887),1,
ES STREET 81 (BLK 888A),1,
ES STREET 81 (BLK 889),4,
ES STREET 81 (BLK 889A),1,
ES STREET 81 (BLK 894),1,
ES STREET 82 (BLK 830),1,
ES STREET 82 (BLK 832),1,
ES STREET 82 (BLK 836),2,
ES STREET 82 (BLK 840),1,
ES STREET 82 (BLK 842),8,
ES STREET 82 (BLK 842B),2,
ES STREET 82 (BLK 842C),6,
ES STREET 82 (BLK 842G),3,
ES STREET 82 (BLK 842H),2,
ES STREET 82 (BLK 846),1,
ES STREET 82 (BLK 854),1,
ES STREET 82 (BLK 856),4,
ES STREET 82 (BLK 856B),4,
ES STREET 82 (BLK 856D),3,
ES STREET 82 (BLK 856E),3,
ES STREET 82 (BLK 856F),5,
ES STREET 83 (BLK 831),2,
ES STREET 83 (BLK 833),3,
ES STREET 83 (BLK 835),1,
ES STREET 83 (BLK 837),1,
ES STREET 83 (BLK 839),10,
ES STREET 83 (BLK 841),4,
ES STREET 83 (BLK 843),6,
ES STREET 83 (BLK 845),1,
ES STREET 83 (BLK 847),3,
ES STREET 83 (BLK 849),2,
ES STREET 83 (BLK 851),12,
ES STREET 83 (BLK 853),4,
ES STREET 83 (BLK 855),17,
ES STREET 83 (BLK 857),1,
ES STREET 83 (BLK 857A),3,
ES STREET 83 (BLK 857B),1,
ES STREET 83 (BLK 862),6,
ES STREET 83 (BLK 862A),2,
ES STREET 83 (BLK 863A),1,
ES STREET 83 (BLK 863B),1,
ES STREET 83 (BLK 864),1,
ES STREET 83 (BLK 864A),3,
ES STREET 83 (BLK 867),1,
ES STREET 83 (BLK 867A),1,
ES STREET 83 (BLK 868),1,
ES STREET 83 (BLK 883),1,
ES STREET 83 (BLK 884),1,
ES STREET 83 (BLK 885),2,
ES STREET 83 (BLK 886),2,
ES STREET 83 (BLK 886A),5,
ES STREET 84 (BLK 871),2,
ES STREET 84 (BLK 871A),1,
ES STREET 84 (BLK 872),3,
ES STREET 84 (BLK 874),2,
ES STREET 84 (BLK 874A),1,
ES STREET 84 (BLK 881),1,
ES STREET 84 (BLK 882),1,
ES STREET 84 (BLK 883),4,
Location,No. of Dengue Cases,
ES CENTRAL 1 (BLK 501),3,
ES CENTRAL 1 (BLK 503),4,
ES STREET 21 (BLK 236),3,
ES STREET 21 (BLK 238),1,
"",,
ES STREET 21 (BLK 240),4,
ES STREET 21 (BLK 243),2,
ES STREET 21 (BLK 244),1,
MPINES STREET 41,1,
ES STREET 41 (BLK 401),4,
ES STREET 41 (BLK 402),8,
ES STREET 41 (BLK 403),3,
ES STREET 41 (BLK 404),10,
ES STREET 41 (BLK 405),8,
ES STREET 41 (BLK 406),6,
ES STREET 41 (BLK 407),5,
ES STREET 41 (BLK 408),5,
ES STREET 41 (BLK 409),2,
ES STREET 41 (BLK 410),3,
ES STREET 41 (BLK 411),2,
ES STREET 41 (BLK 412),4,
ES STREET 41 (BLK 413),2,
ES STREET 41 (BLK 414),3,
ES STREET 41 (BLK 415),6,
ES STREET 41 (BLK 416),1,
ES STREET 41 (BLK 417),1,
ES STREET 41 (BLK 418),5,
ES STREET 41 (BLK 419),4,
ES STREET 41 (BLK 421),1,
ES STREET 41 (BLK 422),1,
ES STREET 41 (BLK 423),3,
ES STREET 41 (BLK 424),3,
ES STREET 41 (BLK 426),3,
ES STREET 41 (BLK 428),2,
ES STREET 41 (BLK 429),1,
ES STREET 41 (BLK 430),2,
ES STREET 41 (BLK 432),2,
ES STREET 43 (BLK 433),3,
Location,No. of Dengue Cases,
N AVENUE 6 (BLK 283),1,
N AVENUE 6 (BLK 286),5,
N AVENUE 6 (BLK 288),5,
N AVENUE 6 (BLK 289),1,
N AVENUE 9 (BLK 244),1,
N AVENUE 9 (BLK 245),6,
N AVENUE 9 (BLK 246),3,
N AVENUE 9 (BLK 247),3,
N AVENUE 9 (BLK 248),3,
N AVENUE 9 (BLK 249),5,
N AVENUE 9 (BLK 250),8,
N RING ROAD (BLK 225),1,
N RING ROAD (BLK 244),2,
N RING ROAD (BLK 252),1,
N RING ROAD (BLK 253),1,
N RING ROAD (BLK 254),4,
N RING ROAD (BLK 255),6,
N RING ROAD (BLK 257),1,
N STREET 21 (BLK 222),1,
N STREET 21 (BLK 223),1,
N STREET 21 (BLK 227),5,
N STREET 21 (BLK 232),2,
N STREET 22 (BLK 258),2,
N STREET 22 (BLK 260),4,
N STREET 22 (BLK 261),1,
N STREET 22 (BLK 262),1,
N STREET 22  (BLK 263),6,
N STREET 22  (BLK 264),3,
N STREET 22  (BLK 265),5,
N STREET 22  (BLK 266),1,
N STREET 22  (BLK 269),2,
N STREET 22  (BLK 270),1,
N STREET 22  (BLK 271),3,
N STREET 22  (BLK 272),2,
t Agency,,
N STREET 22  (BLK 273),1,
N STREET 22 (BLK 274),2,
N STREET 22 (BLK 275),5,
N STREET 22 (BLK 277),1,
N STREET 22 (BLK 278),5,
N STREET 22 (BLK 279),2,
N STREET 22 (BLK 280),4,
N STREET 22 (BLK 291),1,
N STREET 22 (BLK 293),2,
Location,No. of Dengue Cases,
HU KANG NORTH 5 (BLK 707),1,
HU KANG NORTH 5 (BLK 751),3,
HU KANG NORTH 5 (BLK 753),2,
HU KANG NORTH 5 (BLK 754),4,
HU KANG NORTH 5 (BLK 755),3,
HU KANG NORTH 5 (BLK 756),4,
HU KANG NORTH 5 (BLK 757),1,
HU KANG NORTH 5 (BLK 758),3,
HU KANG NORTH 5 (BLK 759),1,
HU KANG NORTH 5 (BLK 761),4,
A CHU KANG NORTH 6,1,
HU KANG NORTH 6 (BLK 633),1,
HU KANG NORTH 6 (BLK 634),2,
HU KANG NORTH 6 (BLK 787),1,
HU KANG NORTH 6 (BLK 788),2,
HU KANG NORTH 6 (BLK 792),1,
U KANG STREET 53 (BLK 701),11,
U KANG STREET 53 (BLK 702),8,
U KANG STREET 53 (BLK 703),8,
U KANG STREET 53 (BLK 704),7,
U KANG STREET 53 (BLK 705),5,
U KANG STREET 53 (BLK 706),3,
U KANG STREET 53 (BLK 707),3,
U KANG STREET 53 (BLK 708),3,
HU KANG DRIVE (BLK 784),2,
HU KANG DRIVE (BLK 785),1,
HU KANG DRIVE (BLK 786),2,
Location,No. of Dengue Cases,
U KANG STREET 51 (BLK 517),1,
U KANG STREET 51 (BLK 523),1,
U KANG STREET 51 (BLK 525),4,
U KANG STREET 51 (BLK 526),1,
U KANG STREET 51 (BLK 527),2,
U KANG STREET 51 (BLK 528),2,
U KANG STREET 51 (BLK 529),1,
U KANG STREET 51 (BLK 531),1,
U KANG STREET 52 (BLK 540),2,
U KANG STREET 52 (BLK 541),4,
U KANG STREET 52 (BLK 542),3,
U KANG STREET 52 (BLK 543),5,
U KANG STREET 52 (BLK 544),3,
U KANG STREET 52 (BLK 545),6,
U KANG STREET 52 (BLK 547),9,
U KANG STREET 52 (BLK 548),8,
U KANG STREET 52 (BLK 549),2,
U KANG STREET 52 (BLK 550),11,
U KANG STREET 52 (BLK 551),3,
U KANG STREET 52 (BLK 552),8,
Location,No. of Dengue Cases,
WEST STREET 74 (BLK 759),1,
WEST STREET 74 (BLK 760),1,
WEST STREET 74 (BLK 761),1,
WEST STREET 74 (BLK 764),2,
WEST STREET 74 (BLK 766),1,
ESTWOOD AVENUE,25,
STWOOD CRESCENT,7,
ESTWOOD DRIVE,5,
ESTWOOD ROAD,1,
"",,4/1
ESTWOOD WALK,7,
Location,No. of Dengue Cases,
RIS DRIVE 4 (BLK 232),4,
RIS DRIVE 4 (BLK 233),6,
RIS DRIVE 4 (BLK 234),3,
RIS DRIVE 4 (BLK 478),1,
RIS DRIVE 4 (BLK 479),3,
RIS DRIVE 4 (BLK 480),2,
RIS DRIVE 4 (BLK 481),1,
RIS DRIVE 4 (BLK 482),1,
RIS DRIVE 4 (BLK 483),1,
RIS DRIVE 4 (BLK 485),2,
RIS DRIVE 4 (BLK 486),7,
RIS DRIVE 4 (BLK 487),8,
RIS DRIVE 6 (BLK 453),1,
RIS DRIVE 6 (BLK 469),1,
RIS DRIVE 6 (BLK 472),1,
RIS DRIVE 6 (BLK 473),1,
RIS DRIVE 6 (BLK 476),2,
RIS DRIVE 6 (BLK 477),1,
IS STREET 21 (BLK 229),2,
IS STREET 21 (BLK 230),3,
IS STREET 21 (BLK 235),1,
IS STREET 21 (BLK 236),5,
IS STREET 21 (BLK 239),1,
IS STREET 41 (BLK 463),1,
IS STREET 41 (BLK 464),1,
Location,No. of Dengue Cases,
RPORATION ROAD,18,
EST STREET 52 (BLK 514),1,
EST STREET 52 (BLK 515),1,
EST STREET 52 (BLK 516),6,
EST STREET 52 (BLK 517),4,
EST STREET 52 (BLK 517C),6,
EST STREET 52 (BLK 517D),6,
EST STREET 52 (BLK 517E),3,
EST STREET 52 (BLK 518),6,
EST STREET 52 (BLK 520),1,
EST STREET 52 (BLK 521),1,
Location,No. of Dengue Cases,
PASIR RIS LINK,42,
Location,No. of Dengue Cases,
UN CENTRAL (BLK 304),2,
UN CENTRAL (BLK 306),1,
UN CENTRAL (BLK 320),3,
UN CENTRAL (BLK 321),1,
UN CENTRAL (BLK 322),3,
UN CENTRAL (BLK 323),2,
UN CENTRAL (BLK 324),3,
UN CENTRAL (BLK 325),1,
N RING ROAD (BLK 308),3,
N RING ROAD (BLK 311),1,
N RING ROAD (BLK 312),1,
N RING ROAD (BLK 326),3,
N RING ROAD (BLK 327),1,
N RING ROAD (BLK 328),4,
N RING ROAD (BLK 329),3,
N RING ROAD (BLK 330),1,
N RING ROAD (BLK 331),1,
N RING ROAD (BLK 332),5,
Location,No. of Dengue Cases,
A CHU KANG NORTH 6,1,
HU KANG NORTH 6 (BLK 553),2,
HU KANG NORTH 6 (BLK 555),2,
HU KANG NORTH 6 (BLK 556),4,
"",,
HU KANG NORTH 6 (BLK 559),2,
HU KANG NORTH 6 (BLK 561),1,
U KANG STREET 52 (BLK 562),2,
U KANG STREET 52 (BLK 564),4,
U KANG STREET 52 (BLK 565),1,
U KANG STREET 52 (BLK 567),1,
U KANG STREET 52 (BLK 568),1,
KANG STREET 62 (BLK 602),5,
KANG STREET 62 (BLK 603),1,
KANG STREET 62 (BLK 606),1,
KANG STREET 62 (BLK 607),1,
KANG STREET 62 (BLK 608),1,
KANG STREET 62 (BLK 610),2,
KANG STREET 62 (BLK 627),1,
Location,No. of Dengue Cases,
ANG AVENUE 6 (BLK 424),2,
ANG AVENUE 8 (BLK 466),2,
ANG AVENUE 8 (BLK 467),1,
ANG AVENUE 10 (BLK 403),1,
ANG AVENUE 10 (BLK 405),2,
ANG AVENUE 10 (BLK 406),1,
ANG AVENUE 10 (BLK 407),1,
ANG AVENUE 10 (BLK 408),6,
ANG AVENUE 10 (BLK 411),1,
ANG AVENUE 10 (BLK 412),1,
ANG AVENUE 10 (BLK 414),2,
ANG AVENUE 10 (BLK 461),1,
ANG AVENUE 10 (BLK 462),4,
ERANGOON ROAD (BLK 464),4,
ERANGOON ROAD (BLK 465),6,
Location,No. of Dengue Cases,
BEATTY ROAD,2,
LOUCESTER ROAD,1,
JOO AVENUE,3,
NT ROAD (BLK 52),1,
VENDER STREET,1,
OWEN ROAD,1,
OXFORD ROAD,1,
OURSE ROAD (BLK 681),1,
OURSE ROAD (BLK 682),1,
OURSE ROAD (BLK 684),2,
OURSE ROAD (BLK 685),1,
RANGOON LANE,1,
RANGOON ROAD,1,
ERANGOON ROAD,3,
SING AVENUE,3,
TARLIGHT ROAD,5,
STURDEE ROAD,5,
HSOHN ROAD (BLK 683),1,
Location,No. of Dengue Cases,
MPINES AVENUE 1,30,
MPINES AVENUE 8,1,
"",,
Location,No. of Dengue Cases,
INES STREET 11 (BLK 102),1,
INES STREET 11 (BLK 111),1,
INES STREET 11 (BLK 112),1,
INES STREET 11 (BLK 114),3,
INES STREET 11 (BLK 118),3,
INES STREET 11 (BLK 119),2,
INES STREET 11 (BLK 120),3,
INES STREET 11 (BLK 121),3,
INES STREET 11 (BLK 123),3,
INES STREET 11 (BLK 129),1,
INES STREET 11 (BLK 133),2,
INES STREET 11 (BLK 134),3,
INES STREET 11 (BLK 135),4,
"",,
Location,No. of Dengue Cases,
LORONG CHUAN,12,
OON AVENUE 2 (BLK 302),1,
OON AVENUE 2 (BLK 303),1,
OON AVENUE 2 (BLK 306),1,
OON AVENUE 2 (BLK 310),1,
OON AVENUE 2 (BLK 315),1,
OON AVENUE 2 (BLK 318),2,
Location,No. of Dengue Cases,
N AVENUE 11 (BLK 343),2,
N AVENUE 11 (BLK 344),1,
N RING ROAD (BLK 342),1,
N RING ROAD (BLK 357),1,
N RING ROAD (BLK 361),2,
N RING ROAD (BLK 363),3,
N RING ROAD (BLK 364),2,
RING ROAD (BLK 365),2,
N RING ROAD (BLK 367),4,
N RING ROAD (BLK 410),1,
Location,No. of Dengue Cases,
ALESTIER ROAD,1,
KIM KEAT CLOSE,4,
KIM KEAT LANE,2,
KIM KEAT ROAD,8,
ONG LIMAU (BLK 76),3,
Location,No. of Dengue Cases,
NGSA ROAD (BLK 104),2,
DING ROAD (BLK 112),2,
DING ROAD (BLK 113),3,
DING ROAD (BLK 115),2,
DING ROAD (BLK 121),1,
DING ROAD (BLK 125),2,
NJANG RING ROAD (BLK 236),1,
NJANG RING ROAD (BLK 237),1,
NJANG RING ROAD (BLK 238),1,
NJANG RING ROAD (BLK 240),1,
NJANG RING ROAD (BLK 241),1,
NJANG RING ROAD (BLK 244),1,
Location,No. of Dengue Cases,
CUIT ROAD (BLK 45),1,
CUIT ROAD (BLK 49),1,
CUIT ROAD (BLK 51),1,
CUIT ROAD (BLK 52),2,
CUIT ROAD (BLK 55),1,
CUIT ROAD (BLK 57),1,
CUIT ROAD (BLK 59),1,
CUIT ROAD (BLK 60),1,
CUIT ROAD (BLK 72),1,
LEBAR WAY (BLK 91),2,
PIT ROAD (BLK 53),2,
PIT ROAD (BLK 54),1,
PIT ROAD (BLK 55),1,
IT ROAD (BLK 92A),1,
"",,
Location,No. of Dengue Cases,
N BERSEH (BLK 26),5,
NTAN ROAD (BLK 28),1,
NTAN ROAD (BLK 29),2,
ELL ROAD (BLK 639),1,
ELL ROAD (BLK 642),1,
UDE ROAD (BLK 1),1,
ORGES AVENUE (BLK 7),1,
YED ALWI ROAD,2,
JALAN BESAR,1,
NTAN ROAD (BLK 29),1,
ITCHENER ROAD,1,
"",,
Location,No. of Dengue Cases,
DAISY AVENUE,7,
RADDELL ROAD,3,
DAISY ROAD,3,
JALAN LATEH,1,
MMERVILLE ROAD,2,
Location,No. of Dengue Cases,
MS AVENUE EAST,1,
JALAN EUNOS,4,
CHANGI ROAD,2,
AMPONG EUNOS,7,
Location,No. of Dengue Cases,
WEALTH DRIVE (BLK 74),2,
WEALTH DRIVE (BLK 76),1,
WEALTH DRIVE (BLK 78),2,
WEALTH DRIVE (BLK 78C),1,
WEALTH DRIVE (BLK 79),3,
WILTON CLOSE,3,
Location,No. of Dengue Cases,
EAST AVENUE 1 (BLK 124),1,
EAST AVENUE 1 (BLK 125),1,
EAST AVENUE 1 (BLK 127),2,
EAST AVENUE 1 (BLK 128),3,
ANG EAST AVENUE 2,2,
EAST CENTRAL (BLK 123),1,
SIMS AVENUE,2,
"",,
Location,No. of Dengue Cases,
KOK BAHRU (BLK 63A),1,
HILL CLOSE (BLK 69),1,
HILL CLOSE (BLK 86),2,
HILL LANE (BLK 78),1,
DHILL RD (BLK 73A),4,
DHILL RD (BLK 76A),1,
DHILL RD (BLK 77A),2,
Location,No. of Dengue Cases,
RONG 9 GEYLANG,1,
RONG 11 GEYLANG,1,
RONG 15 GEYLANG,5,
RONG 17 GEYLANG,2,
SIMS AVENUE,1,
Location,No. of Dengue Cases,
AVENUE 11 (BLK 349),2,
AVENUE 11 (BLK 416),5,
RING ROAD (BLK 353),1,
RING ROAD (BLK 357),2,
RING ROAD (BLK 410),1,
RING ROAD (BLK 415),1,
LOCATION,NO. OF DENGUE CASES,
LAY DRIVE (BLK 198),1,
LAY DRIVE (BLK 199),7,
LAY DRIVE (BLK 200),3,
Location,No. of Dengue Cases,
CHEE ROAD (BLK 21),1,
CHEE ROAD (BLK 23),7,
CHEE ROAD (BLK 24),1,
CHEE ROAD (BLK 804),1,
CHEE ROAD (BLK 805),1,
Location,No. of Dengue Cases,
UILLEMERD ROAD,1,
RONG 4 GEYLANG,4,
RONG 6 GEYLANG,1,
RONG 8 GEYLANG,4,
Location,No. of Dengue Cases,
"",,
BUKIT MERAH (BLK 106),1,
BUKIT MERAH (BLK 107),3,
BUKIT MERAH (BLK 111),1,
BUKIT MERAH (BLK 137),1,
BUKIT MERAH (BLK 138),1,
BUKIT MERAH (BLK 139),1,
"",,
Location,No. of Dengue Cases,
ONG J TELOK KURAU,1,
NG K TELOK KURAU,4,
NG L TELOK KURAU,3,
NG M TELOK KURAU,1,
NG N TELOK KURAU,1,
Location,No. of Dengue Cases,
CHANGI ROAD,2,
NG G TELOK KURAU,5,
NG H TELOK KURAU,2,
Location,No. of Dengue Cases,
N AVENUE 3 (BLK 766),1,
N AVENUE 3 (BLK 767),2,
N STREET 72 (BLK 757),1,
N STREET 72 (BLK 762),3,
N STREET 72 (BLK 763),2,
Location,No. of Dengue Cases,
JALAN SENANG,1,
ALAN CRESCENT,1,
JALAN SELAMAT,1,
JALAN PARAS,1,
Location,No. of Dengue Cases,
ORGES ROAD (BLK 1),1,
ORGES ROAD (BLK 13),1,
ORGES ROAD (BLK 19),1,
ORGES ROAD (BLK 21),1,
T FRANCIS ROAD,1,
ALAN SEMERBAK,1,
MICHAELS ROAD,2,
Location,No. of Dengue Cases,
ES STREET 23 (BLK 215),1,
ES STREET 24 (BLK 220),2,
ES STREET 24 (BLK 230),1,
S STREET 24 (BLK 230D),1,
ES STREET 42 (BLK 450),3,
Location,No. of Dengue Cases,
N STREET 21 (BLK 202),1,
N STREET 21 (BLK 204),1,
N STREET 21 (BLK 207),1,
N STREET 21 (BLK 209),1,
N STREET 21 (BLK 212),3,
N STREET 21 (BLK 213),1,
Location,No. of Dengue Cases,
ENCE LANE (BLK 129),1,
ENCE LANE (BLK 130),1,
ENCE LANE (BLK 131),3,
ENCE LANE (BLK 132),2,
Location,No. of Dengue Cases,
JALAN YASIN,1,
ORONG MARICAN,2,
ORONG MARZUKI,2,
LORONG SARINA,2,
Location,No. of Dengue Cases,
AST STREET 21 (BLK 204),1,
AST STREET 21 (BLK 207),1,
AST STREET 21 (BLK 287A),3,
AST STREET 21 (BLK 287B),1,
"",,
Location,No. of Dengue Cases,
CHARLES CRESCENT,6,
TANGLIN ROAD,1,
"",,
Location,No. of Dengue Cases,
DUKU LANE,1,
PULASAN ROAD,2,
RAMBAI ROAD,1,
STILL ROAD,3,
Location,No. of Dengue Cases,
RONG 3 GEYLANG,6,
Location,No. of Dengue Cases,
BRIDGE ROAD (BLK 7),1,
BRIDGE ROAD (BLK 9),1,
BRIDGE ROAD (BLK 12),1,
BRIDGE ROAD (BLK 467),1,
ACH ROAD (BLK 4),1,
ACH ROAD (BLK 5),1,
Location,No. of Dengue Cases,
N STREET 11 (BLK 121),1,
N STREET 11 (BLK 123),1,
STREET 11(BLK 124),1,
STREET 11(BLK 125),1,
N RING ROAD (BLK 120),2,
Location,No. of Dengue Cases,
NTI AVENUE 2 (BLK 336),1,
NTI AVENUE 2 (BLK 337),2,
NTI AVENUE 5 (BLK 344),1,
NTI AVENUE 5 (BLK 346),1,
"",,
Location,No. of Dengue Cases,
R EAST COAST ROAD,3,
JALAN HAJIJAH,1,
NALLUR ROAD,1,
Location,No. of Dengue Cases,
TIR ROAD (BLK 201),1,
TIR ROAD (BLK 203),1,
TIR ROAD (BLK 210),2,
TIR ROAD (BLK 213),1,
"",,
Location,No. of Dengue Cases,
ES STREET 32 (BLK 301),1,
ES STREET 32 (BLK 303),1,
ES STREET 32 (BLK 317),1,
ES STREET 33 (BLK 313),2,
Location,No. of Dengue Cases,
N STREET 81 (BLK 830),2,
N STREET 81 (BLK 832),1,
N STREET 81 (BLK 833),1,
N STREET 81 (BLK 840),1,
Location,No. of Dengue Cases,
S CRESCENT (BLK 2),1,
S CRESCENT (BLK 9),1,
S CRESCENT (BLK 11),1,
S CRESCENT (BLK 12),1,
Location,No. of Dengue Cases,
FARRER ROAD,4,
Location,No. of Dengue Cases,
NG AVENUE 5 (BLK 328),1,
NG AVENUE 5 (BLK 333),1,
NG AVENUE 5 (BLK 334),1,
NG AVENUE 5 (BLK 361),1,
Location,No. of Dengue Cases,
AN LOYANG BESAR,4,
Location,No. of Dengue Cases,
EST STREET 65 (BLK 609),1,
EST STREET 65 (BLK 610),1,
EST STREET 65 (BLK 663A),1,
Location,No. of Dengue Cases,
RIS DRIVE 1 (BLK 636),1,
RIS DRIVE 1 (BLK 638),1,
RIS DRIVE 1(BLK639),2,
Location,No. of Dengue Cases,
KANG CRESCENT (BLK 663),1,
KANG CRESCENT (BLK 668),1,
ANG CRESCENT (BLK 692B),1,
Location,No. of Dengue Cases,
ILLVIEW AVENUE,3,
Location,No. of Dengue Cases,
RONG 16 GEYLANG,2,
RONG 23 GEYLANG,1,
Location,No. of Dengue Cases,
MAN KEMBANGAN,2,
JALAN SINGA,1,
"",,
Location,No. of Dengue Cases,
IN HALT ROAD (BLK 33),1,
IN HALT ROAD (BLK 34),2,
"",,
Location,No. of Dengue Cases,
MPOA DRIVE (BLK 82),1,
MPOA DRIVE (BLK 85),1,
MPOA DRIVE (BLK 88),1,
Location,No. of Dengue Cases,
URMEI ROAD (BLK 109),2,
Location,No. of Dengue Cases,
MERAH VIEW (BLK 117),2,
Location,No. of Dengue Cases,
CHANGI ROAD,1,
SIMS VIEW,1,
Location,No. of Dengue Cases,
FARRER ROAD,2,
Location,No. of Dengue Cases,
GEYLANG ROAD,1,
ONG KATONG ROAD,1,
"",,
Location,No. of Dengue Cases,
HAMILTON ROAD,2,
Location,No. of Dengue Cases,
LAN DUA (BLK 93),1,
IRPORT ROAD (BLK 99),1,
"",,
Location,No. of Dengue Cases,
NG G TELOK KURAU,1,
NG H TELOK KURAU,1,
Location,No. of Dengue Cases,
RINE DRIVE (BLK 63),1,
RINE DRIVE (BLK 64),1,
Location,No. of Dengue Cases,
S AVENUE 9 (BLK 493B),1,
S STREET 43 (BLK 493E),1,
"",,
Location,No. of Dengue Cases,
NGAH CRESCENT (BLK 22),2,
Location,No. of Dengue Cases,
ANGAH CRESCENT (BLK 4),1,
ANGAH CRESCENT (BLK 5),1,
Location,No. of Dengue Cases,
t Agency,,
EMBELING ROAD,,2
ick here.,,
nnect With Us,GO TO,
"",NEA Website,
Copyright,2013 National Environment Agency. All rights reserved,
"",,12/1
gency,,,
Feedback,FAQS,Contact Us,
Participate Resources,,Contact,
Dengue Cluster Information @ NEA 2013,,,
ck here for more NEA information in OneMap,,,
occur within 14 days and the homes of the dengue victims are within the,,,
ck on the cluster locality.,,,
alert level is associated with a list of preventive actions that the public c,,,
Alert Level,,,
Red,,,
Yellow,,,
Green,,,
Breakdown,,,
Location,,No. of Dengue Cases,
ES AVENUE 5 (BLK 858),,1,
ES AVENUE 5 (BLK 859),,3,
ES AVENUE 5 (BLK 860),,4,
ES AVENUE 5 (BLK 860B),,1,
ES AVENUE 5 (BLK 861),,4,
ES AVENUE 5 (BLK 861A),,1,
MPINES AVENUE 8,,4,
ES AVENUE 8 (BLK 868A),,1,
ES AVENUE 8 (BLK 878),,4,
ES AVENUE 8 (BLK 880),,1,
ES AVENUE 8 (BLK 893A),,1,
ES STREET 71 (BLK 707),,1,
ES STREET 71 (BLK 724),,5,
ES STREET 71 (BLK 725),,2,
ES STREET 71 (BLK 726),,1,
ES STREET 71 (BLK 731),,3,
ES STREET 71 (BLK 732),,2,
ES STREET 71 (BLK 734),,1,
MPINES STREET 73,,4,
"",,,1/1
ES STREET 81 (BLK 887),1,
ES STREET 81 (BLK 888A),1,
ES STREET 81 (BLK 889),4,
ES STREET 81 (BLK 889A),1,
ES STREET 81 (BLK 894),1,
ES STREET 82 (BLK 830),1,
ES STREET 82 (BLK 832),1,
ES STREET 82 (BLK 836),2,
ES STREET 82 (BLK 840),1,
ES STREET 82 (BLK 842),8,
ES STREET 82 (BLK 842B),2,
ES STREET 82 (BLK 842C),6,
ES STREET 82 (BLK 842G),3,
ES STREET 82 (BLK 842H),2,
ES STREET 82 (BLK 846),1,
ES STREET 82 (BLK 854),1,
ES STREET 82 (BLK 856),4,
ES STREET 82 (BLK 856B),4,
ES STREET 82 (BLK 856D),3,
ES STREET 82 (BLK 856E),3,
ES STREET 82 (BLK 856F),5,
ES STREET 83 (BLK 831),2,
ES STREET 83 (BLK 833),3,
ES STREET 83 (BLK 835),1,
ES STREET 83 (BLK 837),1,
ES STREET 83 (BLK 839),10,
ES STREET 83 (BLK 841),4,
ES STREET 83 (BLK 843),6,
ES STREET 83 (BLK 845),1,
ES STREET 83 (BLK 847),3,
ES STREET 83 (BLK 849),2,
ES STREET 83 (BLK 851),12,
ES STREET 83 (BLK 853),4,
ES STREET 83 (BLK 855),17,
ES STREET 83 (BLK 857),1,
ES STREET 83 (BLK 857A),3,
ES STREET 83 (BLK 857B),1,
ES STREET 83 (BLK 862),6,
ES STREET 83 (BLK 862A),2,
ES STREET 83 (BLK 863A),1,
ES STREET 83 (BLK 863B),1,
ES STREET 83 (BLK 864),1,
ES STREET 83 (BLK 864A),3,
ES STREET 83 (BLK 867),1,
ES STREET 83 (BLK 867A),1,
ES STREET 83 (BLK 868),1,
ES STREET 83 (BLK 883),1,
ES STREET 83 (BLK 884),1,
ES STREET 83 (BLK 885),2,
ES STREET 83 (BLK 886),2,
ES STREET 83 (BLK 886A),5,
ES STREET 84 (BLK 871),2,
ES STREET 84 (BLK 871A),1,
ES STREET 84 (BLK 872),3,
ES STREET 84 (BLK 874),2,
ES STREET 84 (BLK 874A),1,
ES STREET 84 (BLK 881),1,
ES STREET 84 (BLK 882),1,
ES STREET 84 (BLK 883),4,
Location,No. of Dengue Cases,
ES CENTRAL 1 (BLK 501),3,
ES CENTRAL 1 (BLK 503),4,
ES STREET 21 (BLK 236),3,
ES STREET 21 (BLK 238),1,
"",,
ES STREET 21 (BLK 240),4,
